name,id,status,external_id,source
SG: PlutoTV Category: Game Shows: BO,1198068,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: CA,1162963,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: CH,1191804,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: CL,1198076,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: CO,1198084,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: CR,1198094,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: DE,1162964,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: DK,1285521,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: DO,1198102,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: EC,1198110,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: FI,1192090,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: FR,1189773,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: Global,1162961,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: GSA,1198003,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: GT,1198118,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: HN,1198126,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: IE,1253680,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: LATAM,1198042,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: MX,1198134,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: NI,1198142,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: PA,1198150,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: PE,1198158,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: PY,1198166,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: SV,1198174,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: UK,1192484,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: US,1162962,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: UY,1198182,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: VE,1198189,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Gaming Anime: AR,1165480,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Gaming Anime: AT,1191471,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Gaming Anime: AU,1238476,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Gaming Anime: BO,1165481,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Gaming Anime: BR,1165497,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Gaming Anime: CA,1163052,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Gaming Anime: CH,1165499,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Gaming Anime: CL,1165482,ACTIVE,,site_group_api_v4
