show,segment_name,segment_id,platform,region,source
,US-LR-DM-Epsilon-ElectronicEnthusiast,1311024,DDA,,audience_items
,US-LR-DM-Claritas-EarlyAdopters,1311025,DDA,,audience_items
,US-LR-DM-Bridge-HHDoesNotSubscribetoCable,1311026,DDA,,audience_items
,US-LR-DM-Acxiom-SubscribetoStreamingVidServices,1311027,DDA,,audience_items
,US-LR-DM-Acxiom-LaptopLikelyProductType,1311028,DDA,,audience_items
,US-LR-DM-Acxiom-DesktopLikelyProductType,1311029,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Sports_WWE,1311030,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Sports_UFC,1311031,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Sports_Rugby,1311032,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Sports_NHL,1311034,DDA,,audience_items
,US-LR-DM-Acxiom-Age_HoH_50-54,1311046,DDA,,audience_items
,US-LR-DM-Quorum-AdultsInCollege_Aug25,1311112,DDA,,audience_items
,US-LR-DM-Dstillery-FirstGen_College_Aug25,1311113,DDA,,audience_items
,US-LR-DM-DataAxle-ReturnToCollege_Aug25,1311114,DDA,,audience_items
,US-LR-DM-Bridge-First-TimeVoters_2018_Aug25,1311130,DDA,,audience_items
,US-LR-DM-Bridge-MidtermVoters_Aug25,1311131,DDA,,audience_items
,US-LR-DM-Acxiom-VideoGames_XboxLiveGaming_Aug25,1311132,DDA,,audience_items
,US-LR-DM-Acxiom-VideoGames_PlayStationGaming_Aug25,1311133,DDA,,audience_items
,US-LR-DM-Stirista-Interest_ThemeANDAmusementParks,1311134,DDA,,audience_items
,US-LR-DM-Acxiom-SiriusXMSubscription_Aug25,1311135,DDA,,audience_items
,US-LR-DM-Acxiom-RegularlyPaysForPhoneApps_Aug25,1311137,DDA,,audience_items
,US-LR-DM-Acxiom-PremiumTVStreamers_Aug25,1311139,DDA,,audience_items
,US-LR-DM-ATVEXP-TravelIntent_TraveledForLeisureInLast12M,1311138,DDA,,audience_items
